,index,year,males,females,total,age
0,5,2018,364155,347749,711904,0
1,6,2017,370453,355472,725925,1
2,7,2016,378518,363162,741680,2
3,8,2015,387906,372402,760308,3
4,9,2014,399232,387042,786274,4
5,10,2013,407611,389920,797531,5
6,11,2012,417471,396835,814306,6
7,12,2011,418623,403349,821972,7
8,13,2010,429919,412555,842474,8
9,14,2009,427917,408232,836149,9
10,15,2008,430934,410703,841637,10
11,16,2007,426744,408166,834910,11
12,17,2006,433073,415280,848353,12
13,18,2005,424141,405218,829359,13
14,19,2004,422877,403761,826638,14
15,20,2003,422127,402532,824659,15
16,21,2002,423901,403441,827342,16
17,22,2001,431086,409037,840123,17
18,23,2000,433377,412560,845937,18
19,24,1999,410714,390002,800716,19
20,25,1998,398993,384532,783525,20
21,26,1997,384384,370258,754642,21
22,27,1996,381869,374177,756046,22
23,28,1995,371731,367951,739682,23
24,29,1994,357849,358614,716463,24
25,30,1993,356195,357966,714161,25
26,31,1992,373660,376224,749884,26
27,32,1991,377772,385366,763138,27
28,33,1990,384835,397080,781915,28
29,34,1989,385034,405038,790072,29
30,35,1988,390899,409842,800741,30
31,36,1987,392786,413955,806741,31
32,37,1986,397979,422167,820146,32
33,38,1985,398786,420790,819576,33
34,39,1984,396435,417815,814250,34
35,40,1983,391214,414133,805347,35
36,41,1982,416777,438390,855167,36
37,42,1981,421707,442482,864189,37
38,43,1980,427643,448307,875950,38
39,44,1979,405581,424441,830022,39
40,45,1978,399149,414208,813357,40
41,46,1977,404816,413671,818487,41
42,47,1976,390441,404350,794791,42
43,48,1975,404346,413722,818068,43
44,49,1974,426173,435157,861330,44
45,50,1973,448213,460384,908597,45
46,51,1972,459886,469527,929413,46
47,52,1971,457822,466462,924284,47
48,53,1970,448697,457896,906593,48
49,54,1969,441572,452879,894451,49
50,55,1968,434971,450472,885443,50
51,56,1967,432749,447421,880170,51
52,57,1966,441979,457665,899644,52
53,58,1965,442828,459310,902138,53
54,59,1964,444960,464153,909113,54
55,60,1963,438142,460412,898554,55
56,61,1962,422099,445047,867146,56
57,62,1961,421161,444896,866057,57
58,63,1960,416331,444709,861040,58
59,64,1959,410415,442263,852678,59
60,65,1958,400042,433635,833677,60
61,66,1957,395817,430912,826729,61
62,67,1956,390345,427893,818238,62
63,68,1955,382395,424094,806489,63
64,69,1954,381146,421875,803021,64
65,70,1953,371165,413428,784593,65
66,71,1952,374781,418007,792788,66
67,72,1951,364694,408050,772744,67
68,73,1950,374817,422019,796836,68
69,74,1949,364312,413673,777985,69
70,75,1948,361485,409072,770557,70
71,76,1947,350179,400876,751055,71
72,77,1946,327085,378561,705646,72
73,78,1945,242793,286325,529118,73
74,79,1944,234112,279055,513167,74
75,80,1943,224687,269401,494088,75
76,81,1942,204674,249057,453731,76
77,82,1941,177799,221914,399713,77
78,83,1940,179151,231318,410469,78
79,84,1939,182015,239598,421613,79
80,85,1938,171854,232663,404517,80
81,86,1937,160969,226088,387057,81
82,87,1936,153145,222853,375998,82
83,88,1935,139041,213902,352943,83
84,89,1934,131872,210980,342852,84
85,90,1933,116712,195596,312308,85
86,91,1932,108339,192550,300889,86
87,92,1931,95104,175872,270976,87
88,93,1930,83373,164803,248176,88
89,94,1929,66602,139226,205828,89
90,95,1928,55382,124322,179704,90
91,96,1927,44797,105456,150253,91
92,97,1926,34519,91072,125591,92
93,98,1925,27317,76447,103764,93
94,99,1924,20525,61235,81760,94
95,100,1923,14477,48398,62875,95
96,101,1922,10101,37882,47983,96
97,102,1921,7239,27754,34993,97
98,103,1920,4977,19813,24790,98
99,104,1919,2058,8273,10331,99
100,105,1918orbefore,2976,12670,15646,100
